Customer_ID,Customer_Name,City,Age,Gender,Last_Purchase,Frequency,Monetary,Avg_Order_Value,Fav_Category,Recency_Days,R_Score,F_Score,M_Score,RFM_Score,Segment
CUST1004,Customer_191,Bengaluru,64,Female,2025-02-24,1,8321.54,8321.54,Electronics,312,1,1,1,3,Lost / Churned
CUST1017,Customer_387,Pune,42,Female,2025-04-16,1,264230.68,264230.68,Fashion,261,2,1,4,7,Needs Attention
CUST1026,Customer_445,Kolkata,65,Female,2025-09-29,1,164965.29,164965.29,Education,95,3,1,3,7,Loyal High-Value
CUST1032,Customer_20,Pune,22,Female,2025-04-28,1,146990.9,146990.9,Electronics,249,2,1,3,6,Needs Attention
CUST1038,Customer_454,Patna,32,Male,2025-05-06,1,37068.4,37068.4,Grocery,241,2,1,1,4,Lost / Churned
CUST1049,Customer_243,Hyderabad,55,Female,2025-03-09,1,16714.64,16714.64,Education,299,1,1,1,3,Lost / Churned
CUST1088,Customer_1,Patna,40,Male,2025-08-27,1,203819.75,203819.75,Fashion,128,3,1,3,7,Loyal High-Value
CUST1090,Customer_316,Patna,45,Female,2025-12-31,1,5263.79,5263.79,Fashion,2,4,1,1,6,Recent Low-Engagement
CUST1094,Customer_91,Patna,31,Female,2025-06-20,1,211945.9,211945.9,Electronics,196,2,1,3,6,Needs Attention
CUST1104,Customer_328,Hyderabad,64,Female,2025-04-02,1,90746.36,90746.36,Education,275,1,1,2,4,Lost / Churned
CUST1106,Customer_135,Patna,31,Male,2025-03-10,1,51838.36,51838.36,Grocery,298,1,1,2,4,Lost / Churned
CUST1113,Customer_104,Gaya,33,Female,2025-03-05,1,181063.26,181063.26,Fashion,303,1,1,3,5,Needs Attention
CUST1122,Customer_447,Kolkata,65,Female,2025-11-10,1,122431.8,122431.8,Grocery,53,4,1,3,8,Loyal High-Value
CUST1124,Customer_360,Patna,18,Female,2025-06-08,1,362370.56,362370.56,Grocery,208,2,1,4,7,Needs Attention
CUST1149,Customer_14,Hyderabad,40,Female,2025-09-17,1,340749.52,340749.52,Electronics,107,3,1,4,8,Loyal High-Value
CUST1159,Customer_492,Pune,30,Male,2025-11-22,1,82567.7,82567.7,Electronics,41,4,1,2,7,Recent Low-Engagement
CUST1170,Customer_67,Mumbai,37,Male,2025-02-24,1,103361.36,103361.36,Electronics,312,1,1,2,4,Lost / Churned
